startstation,count
1 Ave & E 110 St,1
1 Ave & E 16 St,1
1 Ave & E 68 St,1
12 Ave & W 40 St,5
44 Dr & Jackson Ave,1
5 Ave & E 103 St,1
5 Ave & E 73 St,3
5 Ave & E 93 St,1
6 Ave & W 33 St,1
9 Ave & W 18 St,1
9 Ave & W 22 St,1
9 Ave & W 45 St,1
Amsterdam Ave & W 119 St,1
Amsterdam Ave & W 66 St,1
Amsterdam Ave & W 73 St,1
Amsterdam Ave & W 82 St,2
Broadway & W 122 St,1
Broadway & W 56 St,2
Cathedral Pkwy & Broadway,2
Central Park North & Adam Clayton Powell Blvd,3
Central Park W & W 96 St,1
E 110 St & Madison Ave,1
E 17 St & Broadway,1
E 88 St & Park Ave,1
E 91 St & Park Ave,1
E 97 St & Madison Ave,1
Forsyth St & Canal St,1
Grand Army Plaza & Central Park S,3
Little West St & 1 Pl,1
Madison Ave & E 99 St,3
Pier 40 - Hudson River Park,2
Riverside Dr & W 72 St,1
Riverside Dr & W 78 St,1
Riverside Dr & W 82 St,1
Riverside Dr & W 91 St,2
W 100 St & Broadway,1
W 100 St & Manhattan Ave,1
W 107 St & Columbus Ave,1
W 110 St & Amsterdam Ave,1
W 21 St & 6 Ave,1
W 37 St & 5 Ave,1
W 41 St & 8 Ave,1
W 53 St & 10 Ave,1
W 63 St & Broadway,1
W 67 St & Broadway,1
W 88 St & West End Ave,2
W 92 St & Broadway,1
W 95 St & Broadway,1
West End Ave & W 107 St,1
West End Ave & W 94 St,1
West St & Chambers St,2
