startstation,count
1 Ave & E 110 St,1
1 Ave & E 94 St,1
11 Ave & W 41 St,1
11 Ave & W 59 St,1
12 Ave & W 40 St,6
5 Ave & E 88 St,1
8 Ave & W 31 St,2
Amsterdam Ave & W 79 St,3
Amsterdam Ave & W 82 St,2
Broadway & Moylan Pl,1
Broadway & W 122 St,1
Cathedral Pkwy & Broadway,2
Central Park North & Adam Clayton Powell Blvd,2
Central Park S & 6 Ave,2
Central Park West & W 76 St,1
Columbus Ave & W 95 St,1
E 102 St & 1 Ave,1
Frederick Douglass Blvd & W 112 St,2
Lenox Ave & W 126 St,1
Lenox Ave & W 130 St,1
Morningside Ave & W 123 St,2
Pleasant Ave & E 116 St,1
Riverside Blvd & W 67 St,2
Riverside Dr & W 104 St,1
Riverside Dr & W 78 St,1
St Nicholas Ave & Manhattan Ave,2
St. Nicholas Ave & W 126 St,1
W 100 St & Broadway,2
W 104 St & Amsterdam Ave,1
W 106 St & Amsterdam Ave,1
W 106 St & Central Park West,2
W 107 St & Columbus Ave,1
W 113 St & Broadway,3
W 116 St & Broadway,3
W 37 St & 5 Ave,1
W 4 St & 7 Ave S,2
W 52 St & 11 Ave,1
W 53 St & 10 Ave,1
W 63 St & Broadway,1
W 67 St & Broadway,1
W 84 St & Broadway,3
W 84 St & Columbus Ave,3
W 88 St & West End Ave,2
W 90 St & Amsterdam Ave,2
W 92 St & Broadway,1
W 95 St & Broadway,5
West End Ave & W 107 St,2
West End Ave & W 94 St,1
