startstation,count
1 Ave & E 78 St,2
11 Ave & W 27 St,4
3 Ave & E 72 St,1
5 Ave & E 73 St,5
5 Ave & E 78 St,2
5 Ave & E 88 St,1
6 Ave & Canal St,1
8 Ave & W 52 St,2
9 Ave & W 45 St,1
Adam Clayton Powell Blvd & W 115 St,1
Amsterdam Ave & W 119 St,1
Amsterdam Ave & W 125 St,1
Amsterdam Ave & W 66 St,3
Amsterdam Ave & W 73 St,5
Amsterdam Ave & W 79 St,2
Amsterdam Ave & W 82 St,5
Bank St & Hudson St,2
Broadway & E 14 St,2
Broadway & E 22 St,1
Broadway & W 25 St,1
Broadway & W 41 St,1
Broadway & W 49 St,1
Broadway & W 51 St,2
Broadway & W 53 St,1
Broadway & W 56 St,2
Broadway & W 58 St,5
Broadway & W 60 St,2
Central Park North & Adam Clayton Powell Blvd,1
Central Park S & 6 Ave,1
Central Park W & W 96 St,8
Central Park West & W 100 St,1
Central Park West & W 68 St,2
Central Park West & W 72 St,5
Central Park West & W 76 St,3
Central Park West & W 85 St,3
Columbus Ave & W 103 St,1
Columbus Ave & W 72 St,4
Columbus Ave & W 95 St,2
E 103 St & Lexington Ave,1
E 47 St & 2 Ave,1
E 55 St & 2 Ave,1
E 66 St & Madison Ave,1
E 72 St & Park Ave,4
E 75 St & 3 Ave,1
E 76 St & Park Ave,1
E 80 St & 2 Ave,1
E 81 St & York Ave,1
E 84 St & Park Ave,1
E 89 St & 3 Ave,1
E 91 St & 2 Ave,2
Frederick Douglass Blvd & W 112 St,2
Grand Army Plaza & Central Park S,1
Greenwich Ave & Charles St,1
Lispenard St & Broadway,1
Madison Ave & E 82 St,1
Mercer St & Spring St,1
Reade St & Broadway,1
Riverside Blvd & W 67 St,4
Riverside Dr & W 78 St,3
Riverside Dr & W 82 St,1
Riverside Dr & W 91 St,2
St. Nicholas Ave & W 126 St,1
University Pl & E 14 St,1
W 100 St & Broadway,1
W 100 St & Manhattan Ave,3
W 104 St & Amsterdam Ave,1
W 106 St & Amsterdam Ave,1
W 106 St & Central Park West,2
W 107 St & Columbus Ave,3
W 113 St & Broadway,3
W 15 St & 10 Ave,1
W 20 St & 8 Ave,1
W 34 St & 11 Ave,1
W 37 St & 10 Ave,2
W 43 St & 6 Ave,1
W 45 St & 8 Ave,2
W 46 St & 11 Ave,1
W 49 St & 8 Ave,2
W 52 St & 5 Ave,1
W 52 St & 6 Ave,2
W 52 St & 9 Ave,1
W 59 St & 10 Ave,1
W 67 St & Broadway,2
W 76 St & Columbus Ave,4
W 78 St & Broadway,4
W 84 St & Broadway,2
W 84 St & Columbus Ave,10
W 87 St & Amsterdam Ave,1
W 88 St & West End Ave,2
W 89 St & Columbus Ave,3
W 90 St & Amsterdam Ave,1
West End Ave & W 107 St,1
West End Ave & W 94 St,2
