endstation,count
11 Ave & W 27 St,2
12 Ave & W 40 St,3
6 Ave & Spring St,1
6 Ave & W 33 St,1
8 Ave & W 16 St,1
9 Ave & W 18 St,1
Allen St & Rivington St,1
Allen St & Stanton St,1
Bayard St & Baxter St,2
Broad St & Bridge St,1
Broadway & Battery Pl,5
Broadway & Berry St,1
Broadway & E 22 St,1
Broadway & W 53 St,1
Bus Slip & State St,2
Catherine St & Monroe St,1
Centre St & Chambers St,5
Centre St & Worth St,3
Cleveland Pl & Spring St,1
Cliff St & Fulton St,1
E 11 St & 1 Ave,1
E 2 St & 2 Ave,1
E 20 St & FDR Drive,1
E 20 St & Park Ave,1
E 7 St & Avenue A,2
Front St & Maiden Ln,1
Grand Army Plaza & Central Park S,1
Grand St & Greene St,5
Great Jones St,2
Greenwich St & Hubert St,2
Harrison St & Hudson St,2
Henry St & Poplar St,2
Hudson St & Reade St,1
Kane St & Clinton St,1
Lafayette St & E 8 St,1
Lafayette St & Jersey St,1
LaGuardia Pl & W 3 St,2
Liberty St & Broadway,1
Lispenard St & Broadway,3
Little West St & 1 Pl,4
MacDougal St & Prince St,2
Maiden Ln & Pearl St,1
Market St & Cherry St,2
Murray St & Greenwich St,3
Murray St & West St,2
Peck Slip & Front St,1
Reade St & Broadway,1
Schermerhorn St & 3 Ave,1
South End Ave & Liberty St,3
South St & Whitehall St,3
St James Pl & Oliver St,1
St James Pl & Pearl St,2
University Pl & E 14 St,1
Vesey Pl & River Terrace,5
W 13 St & Hudson St,2
W 15 St & 10 Ave,2
W 20 St & 7 Ave,1
W 27 St & 7 Ave,1
W 33 St & 7 Ave,1
W 34 St & 11 Ave,1
W 4 St & 7 Ave S,2
W 95 St & Broadway,1
W Broadway & Spring Street,1
Warren St & Church St,1
Washington Pl & 6 Ave,5
Washington Pl & Broadway,1
Washington St & Gansevoort St,2
Water - Whitehall Plaza,2
West St & Chambers St,2
West Thames St,1
William St & Pine St,1
