endstation,count
11 Ave & W 27 St,5
11 Ave & W 41 St,1
11 Ave & W 59 St,1
12 Ave & W 40 St,1
2 Ave & E 31 St,1
3 Ave & E 62 St,1
5 Ave & E 29 St,4
5 Ave & E 73 St,1
6 Ave & Spring St,1
8 Ave & W 16 St,3
8 Ave & W 31 St,5
8 Ave & W 52 St,2
9 Ave & W 18 St,3
9 Ave & W 22 St,6
9 Ave & W 28 St,2
9 Ave & W 45 St,11
Allen St & Rivington St,1
Allen St & Stanton St,1
Amsterdam Ave & W 66 St,1
Bank St & Hudson St,1
Bank St & Washington St,1
Barrow St & Hudson St,2
Broadway & E 22 St,3
Broadway & W 25 St,3
Broadway & W 29 St,1
Broadway & W 32 St,6
Broadway & W 37 St,2
Broadway & W 38 St,1
Broadway & W 51 St,1
Broadway & W 56 St,4
Broadway & W 58 St,3
Broadway & W 60 St,4
Carmine St & 6 Ave,3
Cathedral Pkwy & Broadway,2
Central Park West & W 68 St,2
Central Park West & W 85 St,1
Centre St & Chambers St,1
Christopher St & Greenwich St,1
Cleveland Pl & Spring St,1
E 10 St & 5 Ave,1
E 11 St & 1 Ave,1
E 13 St & Avenue A,1
E 16 St & 5 Ave,2
E 17 St & Broadway,1
E 2 St & Avenue B,1
E 20 St & 2 Ave,1
E 24 St & Park Ave S,1
E 3 St & 1 Ave,1
E 30 St & Park Ave S,3
E 33 St & 5 Ave,1
E 39 St & 3 Ave,1
E 4 St & 2 Ave,1
E 45 St & 3 Ave,1
E 52 St & 2 Ave,1
E 53 St & Madison Ave,1
E 58 St & 3 Ave,1
E 68 St & Madison Ave,1
E 7 St & Avenue A,1
E 78 St & 2 Ave,1
Grand Army Plaza & Central Park S,1
Grand St & Elizabeth St,1
Great Jones St,1
Greenwich St & W Houston St,2
Hanson Pl & Ashland Pl,1
John St & William St,1
Kent Ave & N 7 St,1
Lenox Ave & W 126 St,1
Lexington Ave & E 24 St,1
Lexington Ave & E 29 St,2
Madison Ave & E 82 St,1
Pershing Square North,2
Pier 40 - Hudson River Park,1
Roebling St & N 4 St,1
South End Ave & Liberty St,1
Sullivan St & Washington Sq,1
University Pl & E 14 St,2
Vesey Pl & River Terrace,1
W 116 St & Broadway,1
W 13 St & 6 Ave,1
W 15 St & 10 Ave,1
W 15 St & 7 Ave,1
W 16 St & The High Line,1
W 17 St & 8 Ave,1
W 18 St & 6 Ave,2
W 20 St & 11 Ave,1
W 20 St & 8 Ave,3
W 21 St & 6 Ave,1
W 22 St & 10 Ave,1
W 22 St & 8 Ave,1
W 24 St & 7 Ave,9
W 25 St & 6 Ave,1
W 27 St & 10 Ave,5
W 27 St & 7 Ave,3
W 33 St & 7 Ave,1
W 34 St & 11 Ave,7
W 36 St & 9 Ave,1
W 37 St & 10 Ave,1
W 38 St & 8 Ave,5
W 4 St & 7 Ave S,2
W 41 St & 8 Ave,3
W 42 St & 8 Ave,1
W 42 St & Dyer Ave,4
W 43 St & 6 Ave,1
W 45 St & 8 Ave,10
W 47 St & 10 Ave,6
W 49 St & 8 Ave,2
W 52 St & 6 Ave,1
W 52 St & 9 Ave,1
W 53 St & 10 Ave,1
W 54 St & 9 Ave,1
W 56 St & 10 Ave,2
W 59 St & 10 Ave,1
W 63 St & Broadway,2
W 74 St & Columbus Ave,1
W 84 St & Broadway,1
W 89 St & Columbus Ave,2
Washington St & Gansevoort St,2
Water - Whitehall Plaza,2
Watts St & Greenwich St,1
West End Ave & W 94 St,1
West St & Chambers St,3
