,tripduration,starttime,stoptime,startid,startname,endid,endname
4094,1910,9/27/2017 12:36,9/27/2017 13:07,319,Fulton St & Broadway,477,W 41 St & 8 Ave
4095,177,9/27/2017 12:45,9/27/2017 12:48,319,Fulton St & Broadway,304,Broadway & Battery Pl
4096,194,9/27/2017 12:51,9/27/2017 12:54,319,Fulton St & Broadway,306,Cliff St & Fulton St
4097,734,9/27/2017 12:51,9/27/2017 13:04,319,Fulton St & Broadway,320,Leonard St & Church St
4098,685,9/27/2017 12:52,9/27/2017 13:03,319,Fulton St & Broadway,320,Leonard St & Church St
4099,480,9/27/2017 12:55,9/27/2017 13:03,319,Fulton St & Broadway,355,Bayard St & Baxter St
4100,654,9/27/2017 13:03,9/27/2017 13:14,319,Fulton St & Broadway,3435,Grand St & Elizabeth St
4101,1687,9/27/2017 13:05,9/27/2017 13:33,319,Fulton St & Broadway,479,9 Ave & W 45 St
4102,651,9/27/2017 13:05,9/27/2017 13:16,319,Fulton St & Broadway,303,Mercer St & Spring St
4103,832,9/27/2017 13:10,9/27/2017 13:24,319,Fulton St & Broadway,311,Norfolk St & Broome St
4104,172,9/27/2017 13:11,9/27/2017 13:14,319,Fulton St & Broadway,264,Maiden Ln & Pearl St
4105,950,9/27/2017 13:17,9/27/2017 13:33,319,Fulton St & Broadway,236,St Marks Pl & 2 Ave
4106,1002,9/27/2017 13:18,9/27/2017 13:35,319,Fulton St & Broadway,229,Great Jones St
4107,1001,9/27/2017 13:18,9/27/2017 13:35,319,Fulton St & Broadway,229,Great Jones St
4108,1152,9/27/2017 13:28,9/27/2017 13:47,319,Fulton St & Broadway,312,Allen St & Stanton St
4109,527,9/27/2017 13:55,9/27/2017 14:04,319,Fulton St & Broadway,260,Broad St & Bridge St
4110,1760,9/27/2017 14:15,9/27/2017 14:44,319,Fulton St & Broadway,505,6 Ave & W 33 St
4111,2284,9/27/2017 14:15,9/27/2017 14:53,319,Fulton St & Broadway,127,Barrow St & Hudson St
4112,435,9/27/2017 14:19,9/27/2017 14:27,319,Fulton St & Broadway,415,Pearl St & Hanover Square
4113,1027,9/27/2017 14:19,9/27/2017 14:37,319,Fulton St & Broadway,361,Allen St & Hester St
4114,371,9/27/2017 14:28,9/27/2017 14:34,319,Fulton St & Broadway,363,West Thames St
4115,190,9/27/2017 14:29,9/27/2017 14:32,319,Fulton St & Broadway,304,Broadway & Battery Pl
4116,811,9/27/2017 14:29,9/27/2017 14:42,319,Fulton St & Broadway,360,William St & Pine St
4117,2444,9/27/2017 14:31,9/27/2017 15:12,319,Fulton St & Broadway,319,Fulton St & Broadway
4118,1021,9/27/2017 14:37,9/27/2017 14:55,319,Fulton St & Broadway,152,Warren St & Church St
4119,1321,9/27/2017 14:38,9/27/2017 15:00,319,Fulton St & Broadway,3428,8 Ave & W 16 St
4120,877,9/27/2017 14:43,9/27/2017 14:58,319,Fulton St & Broadway,466,W 25 St & 6 Ave
4121,676,9/27/2017 14:49,9/27/2017 15:00,319,Fulton St & Broadway,3427,Lafayette St & Jersey St
4122,1361,9/27/2017 14:51,9/27/2017 15:13,319,Fulton St & Broadway,537,Lexington Ave & E 24 St
4123,1384,9/27/2017 14:56,9/27/2017 15:19,319,Fulton St & Broadway,303,Mercer St & Spring St
4124,1582,9/27/2017 15:02,9/27/2017 15:28,319,Fulton St & Broadway,168,W 18 St & 6 Ave
4125,183,9/27/2017 15:16,9/27/2017 15:19,319,Fulton St & Broadway,304,Broadway & Battery Pl
4126,224,9/27/2017 15:19,9/27/2017 15:23,319,Fulton St & Broadway,3002,South End Ave & Liberty St
4127,384,9/27/2017 15:30,9/27/2017 15:36,319,Fulton St & Broadway,337,Old Slip & Front St
4128,1335,9/27/2017 15:34,9/27/2017 15:56,319,Fulton St & Broadway,3258,W 27 St & 10 Ave
4129,1368,9/27/2017 15:57,9/27/2017 16:20,319,Fulton St & Broadway,470,W 20 St & 8 Ave
4130,868,9/27/2017 15:58,9/27/2017 16:12,319,Fulton St & Broadway,331,Pike St & Monroe St
4131,330,9/27/2017 15:58,9/27/2017 16:03,319,Fulton St & Broadway,377,6 Ave & Canal St
4132,899,9/27/2017 15:58,9/27/2017 16:13,319,Fulton St & Broadway,319,Fulton St & Broadway
4133,351,9/27/2017 16:02,9/27/2017 16:07,319,Fulton St & Broadway,363,West Thames St
4134,395,9/27/2017 16:02,9/27/2017 16:08,319,Fulton St & Broadway,3474,6 Ave & Spring St
4135,510,9/27/2017 16:03,9/27/2017 16:11,319,Fulton St & Broadway,259,South St & Whitehall St
4136,1412,9/27/2017 16:04,9/27/2017 16:27,319,Fulton St & Broadway,461,E 20 St & 2 Ave
4137,166,9/27/2017 16:10,9/27/2017 16:12,319,Fulton St & Broadway,417,Barclay St & Church St
4138,1031,9/27/2017 16:14,9/27/2017 16:31,319,Fulton St & Broadway,3303,Butler St & Court St
4139,403,9/27/2017 16:15,9/27/2017 16:21,319,Fulton St & Broadway,308,St James Pl & Oliver St
4140,1071,9/27/2017 16:25,9/27/2017 16:43,319,Fulton St & Broadway,3224,W 13 St & Hudson St
4141,297,9/27/2017 16:36,9/27/2017 16:41,319,Fulton St & Broadway,276,Duane St & Greenwich St
4142,694,9/27/2017 16:38,9/27/2017 16:50,319,Fulton St & Broadway,151,Cleveland Pl & Spring St
4143,206,9/27/2017 16:44,9/27/2017 16:47,319,Fulton St & Broadway,304,Broadway & Battery Pl
4144,1163,9/27/2017 16:54,9/27/2017 17:13,319,Fulton St & Broadway,504,1 Ave & E 16 St
4145,1669,9/27/2017 16:58,9/27/2017 17:26,319,Fulton St & Broadway,508,W 46 St & 11 Ave
4146,1850,9/27/2017 17:01,9/27/2017 17:32,319,Fulton St & Broadway,484,W 44 St & 5 Ave
4147,733,9/27/2017 17:04,9/27/2017 17:16,319,Fulton St & Broadway,331,Pike St & Monroe St
4148,418,9/27/2017 17:04,9/27/2017 17:11,319,Fulton St & Broadway,249,Harrison St & Hudson St
4149,469,9/27/2017 17:08,9/27/2017 17:16,319,Fulton St & Broadway,363,West Thames St
4150,387,9/27/2017 17:10,9/27/2017 17:16,319,Fulton St & Broadway,2009,Catherine St & Monroe St
4151,159,9/27/2017 17:10,9/27/2017 17:13,319,Fulton St & Broadway,264,Maiden Ln & Pearl St
4152,836,9/27/2017 17:11,9/27/2017 17:25,319,Fulton St & Broadway,306,Cliff St & Fulton St
4153,1759,9/27/2017 17:11,9/27/2017 17:41,319,Fulton St & Broadway,3306,10 St & 7 Ave
4154,944,9/27/2017 17:12,9/27/2017 17:27,319,Fulton St & Broadway,332,Cherry St
4155,553,9/27/2017 17:14,9/27/2017 17:23,319,Fulton St & Broadway,303,Mercer St & Spring St
4156,1486,9/27/2017 17:14,9/27/2017 17:39,319,Fulton St & Broadway,414,Pearl St & Anchorage Pl
4157,1910,9/27/2017 17:15,9/27/2017 17:47,319,Fulton St & Broadway,331,Pike St & Monroe St
4158,1077,9/27/2017 17:17,9/27/2017 17:35,319,Fulton St & Broadway,358,Christopher St & Greenwich St
4159,184,9/27/2017 17:17,9/27/2017 17:20,319,Fulton St & Broadway,376,John St & William St
4160,489,9/27/2017 17:20,9/27/2017 17:28,319,Fulton St & Broadway,328,Watts St & Greenwich St
4161,1809,9/27/2017 17:21,9/27/2017 17:51,319,Fulton St & Broadway,2012,E 27 St & 1 Ave
4162,1917,9/27/2017 17:24,9/27/2017 17:56,319,Fulton St & Broadway,530,11 Ave & W 59 St
4163,1207,9/27/2017 17:30,9/27/2017 17:50,319,Fulton St & Broadway,472,E 32 St & Park Ave
4164,1665,9/27/2017 17:31,9/27/2017 17:58,319,Fulton St & Broadway,3255,8 Ave & W 31 St
4165,902,9/27/2017 17:33,9/27/2017 17:48,319,Fulton St & Broadway,143,Clinton St & Joralemon St
4166,1132,9/27/2017 17:36,9/27/2017 17:55,319,Fulton St & Broadway,346,Bank St & Hudson St
4167,1138,9/27/2017 17:41,9/27/2017 18:00,319,Fulton St & Broadway,527,E 33 St & 2 Ave
4168,2277,9/27/2017 17:48,9/27/2017 18:26,319,Fulton St & Broadway,252,MacDougal St & Washington Sq
4169,832,9/27/2017 17:51,9/27/2017 18:05,319,Fulton St & Broadway,428,E 3 St & 1 Ave
4170,150,9/27/2017 17:56,9/27/2017 17:58,319,Fulton St & Broadway,319,Fulton St & Broadway
4171,1577,9/27/2017 17:57,9/27/2017 18:23,319,Fulton St & Broadway,174,E 25 St & 1 Ave
4172,1248,9/27/2017 18:00,9/27/2017 18:21,319,Fulton St & Broadway,236,St Marks Pl & 2 Ave
4173,826,9/27/2017 18:09,9/27/2017 18:23,319,Fulton St & Broadway,350,Clinton St & Grand St
4174,1236,9/27/2017 18:11,9/27/2017 18:32,319,Fulton St & Broadway,427,Bus Slip & State St
4175,968,9/27/2017 18:12,9/27/2017 18:29,319,Fulton St & Broadway,325,E 19 St & 3 Ave
4176,757,9/27/2017 18:19,9/27/2017 18:32,319,Fulton St & Broadway,459,W 20 St & 11 Ave
4177,1096,9/27/2017 18:22,9/27/2017 18:40,319,Fulton St & Broadway,325,E 19 St & 3 Ave
4178,1040,9/27/2017 18:22,9/27/2017 18:40,319,Fulton St & Broadway,3428,8 Ave & W 16 St
4179,2150,9/27/2017 18:25,9/27/2017 19:01,319,Fulton St & Broadway,3112,Milton St & Franklin St
4180,1399,9/27/2017 18:27,9/27/2017 18:50,319,Fulton St & Broadway,507,E 25 St & 2 Ave
4181,360,9/27/2017 18:29,9/27/2017 18:35,319,Fulton St & Broadway,427,Bus Slip & State St
4182,1340,9/27/2017 18:35,9/27/2017 18:57,319,Fulton St & Broadway,3412,Pacific St & Nevins St
4183,1152,9/27/2017 18:40,9/27/2017 19:00,319,Fulton St & Broadway,368,Carmine St & 6 Ave
4184,368,9/27/2017 18:41,9/27/2017 18:47,319,Fulton St & Broadway,377,6 Ave & Canal St
4185,1683,9/27/2017 18:42,9/27/2017 19:10,319,Fulton St & Broadway,3076,Scholes St & Manhattan Ave
4186,1528,9/27/2017 18:47,9/27/2017 19:13,319,Fulton St & Broadway,3236,W 42 St & Dyer Ave
4187,292,9/27/2017 19:01,9/27/2017 19:06,319,Fulton St & Broadway,360,William St & Pine St
4188,2507,9/27/2017 19:03,9/27/2017 19:45,319,Fulton St & Broadway,454,E 51 St & 1 Ave
4189,328,9/27/2017 19:06,9/27/2017 19:12,319,Fulton St & Broadway,249,Harrison St & Hudson St
4190,586,9/27/2017 19:07,9/27/2017 19:17,319,Fulton St & Broadway,361,Allen St & Hester St
4191,1123,9/27/2017 19:08,9/27/2017 19:26,319,Fulton St & Broadway,355,Bayard St & Baxter St
4192,327,9/27/2017 19:15,9/27/2017 19:21,319,Fulton St & Broadway,415,Pearl St & Hanover Square
4193,798,9/27/2017 19:15,9/27/2017 19:28,319,Fulton St & Broadway,403,E 2 St & 2 Ave
4194,2009,9/27/2017 19:16,9/27/2017 19:49,319,Fulton St & Broadway,3166,Riverside Dr & W 72 St
4195,303,9/27/2017 19:16,9/27/2017 19:21,319,Fulton St & Broadway,327,Vesey Pl & River Terrace
4196,956,9/27/2017 19:21,9/27/2017 19:36,319,Fulton St & Broadway,307,Canal St & Rutgers St
4197,889,9/27/2017 19:52,9/27/2017 20:06,319,Fulton St & Broadway,284,Greenwich Ave & 8 Ave
4198,1609,9/27/2017 20:03,9/27/2017 20:30,319,Fulton St & Broadway,373,Willoughby Ave & Walworth St
4199,1555,9/27/2017 20:14,9/27/2017 20:40,319,Fulton St & Broadway,3244,University Pl & E 8 St
4200,672,9/27/2017 20:17,9/27/2017 20:29,319,Fulton St & Broadway,3474,6 Ave & Spring St
4201,952,9/27/2017 20:19,9/27/2017 20:34,319,Fulton St & Broadway,3224,W 13 St & Hudson St
4202,221,9/27/2017 20:36,9/27/2017 20:40,319,Fulton St & Broadway,415,Pearl St & Hanover Square
4203,1047,9/27/2017 21:01,9/27/2017 21:18,319,Fulton St & Broadway,461,E 20 St & 2 Ave
4204,321,9/27/2017 21:09,9/27/2017 21:14,319,Fulton St & Broadway,415,Pearl St & Hanover Square
4205,1059,9/27/2017 22:17,9/27/2017 22:35,319,Fulton St & Broadway,295,Pike St & E Broadway
4206,404,9/27/2017 22:54,9/27/2017 23:00,319,Fulton St & Broadway,328,Watts St & Greenwich St
4207,1006,9/27/2017 23:08,9/27/2017 23:24,319,Fulton St & Broadway,483,E 12 St & 3 Ave
4208,932,9/27/2017 23:14,9/27/2017 23:29,319,Fulton St & Broadway,311,Norfolk St & Broome St
4209,1300,9/27/2017 23:26,9/27/2017 23:47,319,Fulton St & Broadway,345,W 13 St & 6 Ave
4210,1275,9/27/2017 23:26,9/27/2017 23:47,319,Fulton St & Broadway,345,W 13 St & 6 Ave
4211,247,9/27/2017 23:51,9/27/2017 23:55,319,Fulton St & Broadway,415,Pearl St & Hanover Square
