startstation,endstation,count
8 Ave & W 31 St,E 67 St & Park Ave,5
8 Ave & W 31 St,E 68 St & 3 Ave,1
8 Ave & W 31 St,E 68 St & Madison Ave,1
8 Ave & W 31 St,E 7 St & Avenue A,4
8 Ave & W 31 St,E 72 St & York Ave,1
8 Ave & W 31 St,E 81 St & 3 Ave,2
8 Ave & W 31 St,E 84 St & Park Ave,1
8 Ave & W 31 St,E 85 St & 3 Ave,1
8 Ave & W 31 St,E 88 St & 1 Ave,1
8 Ave & W 31 St,E 88 St & Park Ave,1
8 Ave & W 31 St,E 89 St & 3 Ave,1
8 Ave & W 31 St,E 9 St & Avenue C,1
8 Ave & W 31 St,E 91 St & 2 Ave,2
8 Ave & W 31 St,FDR Drive & E 35 St,1
8 Ave & W 31 St,Forsyth St & Canal St,2
8 Ave & W 31 St,Frederick Douglass Blvd & W 112 St,1
8 Ave & W 31 St,Front St & Maiden Ln,1
8 Ave & W 31 St,Fulton St & Broadway,2
8 Ave & W 31 St,Grand Army Plaza & Central Park S,9
8 Ave & W 31 St,Grand St & Elizabeth St,3
8 Ave & W 31 St,Great Jones St,3
8 Ave & W 31 St,Greenwich Ave & 8 Ave,7
8 Ave & W 31 St,Greenwich Ave & Charles St,3
8 Ave & W 31 St,Greenwich St & Hubert St,6
8 Ave & W 31 St,Greenwich St & W Houston St,15
8 Ave & W 31 St,Harrison St & Hudson St,2
8 Ave & W 31 St,Kane St & Clinton St,1
8 Ave & W 31 St,Kosciuszko St & Tompkins Ave,1
8 Ave & W 31 St,Lafayette Ave & Fort Greene Pl,1
8 Ave & W 31 St,Lafayette St & E 8 St,3
8 Ave & W 31 St,Lafayette St & Jersey St,1
8 Ave & W 31 St,LaGuardia Pl & W 3 St,3
8 Ave & W 31 St,Lexington Ave & E 24 St,7
8 Ave & W 31 St,Lexington Ave & E 29 St,10
8 Ave & W 31 St,Liberty St & Broadway,3
8 Ave & W 31 St,Little West St & 1 Pl,3
8 Ave & W 31 St,MacDougal St & Prince St,4
8 Ave & W 31 St,MacDougal St & Washington Sq,3
8 Ave & W 31 St,Madison St & Montgomery St,1
8 Ave & W 31 St,Maiden Ln & Pearl St,6
8 Ave & W 31 St,Mercer St & Bleecker St,3
8 Ave & W 31 St,Mercer St & Spring St,4
8 Ave & W 31 St,Mott St & Prince St,1
8 Ave & W 31 St,Murray St & West St,5
8 Ave & W 31 St,Old Slip & Front St,1
8 Ave & W 31 St,Pearl St & Hanover Square,3
8 Ave & W 31 St,Perry St & Bleecker St,2
8 Ave & W 31 St,Pershing Square North,19
8 Ave & W 31 St,Pershing Square South,8
8 Ave & W 31 St,Pier 40 - Hudson River Park,3
8 Ave & W 31 St,Pitt St & Stanton St,1
8 Ave & W 31 St,Reade St & Broadway,2
8 Ave & W 31 St,Riverside Dr & W 72 St,1
8 Ave & W 31 St,Rivington St & Ridge St,1
8 Ave & W 31 St,S 5 Pl & S 4 St,1
8 Ave & W 31 St,South End Ave & Liberty St,4
8 Ave & W 31 St,South St & Gouverneur Ln,1
8 Ave & W 31 St,St Marks Pl & 1 Ave,1
8 Ave & W 31 St,St Marks Pl & 2 Ave,1
8 Ave & W 31 St,Stanton St & Chrystie St,1
8 Ave & W 31 St,State St & Smith St,1
8 Ave & W 31 St,Suffolk St & Stanton St,1
8 Ave & W 31 St,Sullivan St & Washington Sq,3
8 Ave & W 31 St,University Pl & E 14 St,3
8 Ave & W 31 St,University Pl & E 8 St,2
8 Ave & W 31 St,Vesey Pl & River Terrace,6
8 Ave & W 31 St,W 100 St & Manhattan Ave,1
8 Ave & W 31 St,W 106 St & Central Park West,1
8 Ave & W 31 St,W 11 St & 6 Ave,2
8 Ave & W 31 St,W 110 St & Amsterdam Ave,1
8 Ave & W 31 St,W 13 St & 5 Ave,1
8 Ave & W 31 St,W 13 St & 6 Ave,2
8 Ave & W 31 St,W 13 St & 7 Ave,2
8 Ave & W 31 St,W 13 St & Hudson St,8
8 Ave & W 31 St,W 15 St & 10 Ave,6
8 Ave & W 31 St,W 15 St & 7 Ave,5
8 Ave & W 31 St,W 16 St & The High Line,7
8 Ave & W 31 St,W 17 St & 8 Ave,11
8 Ave & W 31 St,W 18 St & 6 Ave,2
8 Ave & W 31 St,W 20 St & 11 Ave,20
8 Ave & W 31 St,W 20 St & 7 Ave,4
8 Ave & W 31 St,W 20 St & 8 Ave,6
8 Ave & W 31 St,W 21 St & 6 Ave,5
8 Ave & W 31 St,W 22 St & 10 Ave,12
8 Ave & W 31 St,W 22 St & 8 Ave,5
8 Ave & W 31 St,W 24 St & 7 Ave,8
8 Ave & W 31 St,W 25 St & 6 Ave,3
8 Ave & W 31 St,W 27 St & 10 Ave,26
8 Ave & W 31 St,W 27 St & 7 Ave,4
8 Ave & W 31 St,W 33 St & 7 Ave,1
8 Ave & W 31 St,W 34 St & 11 Ave,7
8 Ave & W 31 St,W 36 St & 9 Ave,2
8 Ave & W 31 St,W 37 St & 10 Ave,9
8 Ave & W 31 St,W 37 St & 5 Ave,7
8 Ave & W 31 St,W 38 St & 8 Ave,14
8 Ave & W 31 St,W 4 St & 7 Ave S,4
8 Ave & W 31 St,W 41 St & 8 Ave,13
8 Ave & W 31 St,W 42 St & 8 Ave,11
8 Ave & W 31 St,W 42 St & Dyer Ave,12
8 Ave & W 31 St,W 43 St & 6 Ave,5
8 Ave & W 31 St,W 44 St & 5 Ave,13
8 Ave & W 31 St,W 45 St & 6 Ave,10
8 Ave & W 31 St,W 45 St & 8 Ave,21
8 Ave & W 31 St,W 46 St & 11 Ave,10
8 Ave & W 31 St,W 47 St & 10 Ave,12
8 Ave & W 31 St,W 49 St & 8 Ave,28
8 Ave & W 31 St,W 52 St & 11 Ave,5
8 Ave & W 31 St,W 52 St & 5 Ave,6
8 Ave & W 31 St,W 52 St & 6 Ave,22
8 Ave & W 31 St,W 52 St & 9 Ave,5
8 Ave & W 31 St,W 53 St & 10 Ave,3
8 Ave & W 31 St,W 54 St & 9 Ave,2
8 Ave & W 31 St,W 55 St & 6 Ave,10
8 Ave & W 31 St,W 56 St & 10 Ave,8
8 Ave & W 31 St,W 59 St & 10 Ave,2
8 Ave & W 31 St,W 63 St & Broadway,4
8 Ave & W 31 St,W 67 St & Broadway,1
8 Ave & W 31 St,W 74 St & Columbus Ave,2
8 Ave & W 31 St,W 78 St & Broadway,3
8 Ave & W 31 St,W 82 St & Central Park West,1
8 Ave & W 31 St,W 84 St & Broadway,2
8 Ave & W 31 St,W 88 St & West End Ave,1
8 Ave & W 31 St,W 90 St & Amsterdam Ave,1
8 Ave & W 31 St,W Broadway & Spring Street,2
8 Ave & W 31 St,Warren St & Church St,2
8 Ave & W 31 St,Washington Pl & 6 Ave,1
8 Ave & W 31 St,Washington Pl & Broadway,1
8 Ave & W 31 St,Washington St & Gansevoort St,3
8 Ave & W 31 St,Water - Whitehall Plaza,1
8 Ave & W 31 St,Watts St & Greenwich St,6
8 Ave & W 31 St,West St & Chambers St,11
8 Ave & W 31 St,West Thames St,2
8 Ave & W 31 St,William St & Pine St,2
