startstation,count
1 Ave & E 62 St,1
2 Ave & E 31 St,2
2 Ave & E 99 St,1
3 Ave & E 72 St,1
8 Ave & W 52 St,1
9 Ave & W 28 St,2
Broadway & E 14 St,2
Broadway & W 49 St,1
Central Park S & 6 Ave,1
Central Park W & W 96 St,1
E 11 St & 2 Ave,1
E 17 St & Broadway,1
E 30 St & Park Ave S,1
E 39 St & 2 Ave,1
E 41 St & Madison Ave,1
E 72 St & Park Ave,1
E 80 St & 2 Ave,1
E 81 St & York Ave,1
Grand Army Plaza & Central Park S,2
Great Jones St,4
Greenwich Ave & Charles St,2
Lafayette St & E 8 St,1
Lafayette St & Jersey St,1
Madison Ave & E 82 St,1
University Pl & E 14 St,1
W 25 St & 6 Ave,1
W 27 St & 7 Ave,4
W 31 St & 7 Ave,1
W 33 St & 7 Ave,1
W 36 St & 9 Ave,2
W 38 St & 8 Ave,2
W 42 St & 8 Ave,1
W 55 St & 6 Ave,1
W 56 St & 10 Ave,1
