,tripduration,starttime,stoptime,startid,startname,endid,endname
9692,663,9/27/2017 6:24,9/27/2017 6:35,3255,8 Ave & W 31 St,174,E 25 St & 1 Ave
9693,478,9/27/2017 6:24,9/27/2017 6:32,3255,8 Ave & W 31 St,527,E 33 St & 2 Ave
9694,668,9/27/2017 6:24,9/27/2017 6:35,3255,8 Ave & W 31 St,228,E 48 St & 3 Ave
9695,623,9/27/2017 6:25,9/27/2017 6:35,3255,8 Ave & W 31 St,3233,E 48 St & 5 Ave
9696,936,9/27/2017 6:25,9/27/2017 6:41,3255,8 Ave & W 31 St,347,Greenwich St & W Houston St
9697,797,9/27/2017 6:26,9/27/2017 6:39,3255,8 Ave & W 31 St,3443,W 52 St & 6 Ave
9698,922,9/27/2017 6:26,9/27/2017 6:42,3255,8 Ave & W 31 St,456,E 53 St & Madison Ave
9699,642,9/27/2017 6:27,9/27/2017 6:37,3255,8 Ave & W 31 St,497,E 17 St & Broadway
9700,1037,9/27/2017 6:27,9/27/2017 6:44,3255,8 Ave & W 31 St,3436,Greenwich St & Hubert St
9701,350,9/27/2017 6:28,9/27/2017 6:34,3255,8 Ave & W 31 St,525,W 34 St & 11 Ave
9702,336,9/27/2017 6:28,9/27/2017 6:33,3255,8 Ave & W 31 St,116,W 17 St & 8 Ave
9703,1060,9/27/2017 6:28,9/27/2017 6:46,3255,8 Ave & W 31 St,3141,1 Ave & E 68 St
9704,338,9/27/2017 6:29,9/27/2017 6:35,3255,8 Ave & W 31 St,212,W 16 St & The High Line
9705,1004,9/27/2017 6:29,9/27/2017 6:46,3255,8 Ave & W 31 St,3436,Greenwich St & Hubert St
9706,556,9/27/2017 6:30,9/27/2017 6:39,3255,8 Ave & W 31 St,3233,E 48 St & 5 Ave
9707,522,9/27/2017 6:31,9/27/2017 6:39,3255,8 Ave & W 31 St,528,2 Ave & E 31 St
9708,1074,9/27/2017 6:31,9/27/2017 6:49,3255,8 Ave & W 31 St,347,Greenwich St & W Houston St
9709,914,9/27/2017 6:31,9/27/2017 6:46,3255,8 Ave & W 31 St,151,Cleveland Pl & Spring St
9710,713,9/27/2017 6:32,9/27/2017 6:44,3255,8 Ave & W 31 St,496,E 16 St & 5 Ave
9711,545,9/27/2017 6:33,9/27/2017 6:42,3255,8 Ave & W 31 St,527,E 33 St & 2 Ave
9712,812,9/27/2017 6:33,9/27/2017 6:46,3255,8 Ave & W 31 St,359,E 47 St & Park Ave
9713,810,9/27/2017 6:33,9/27/2017 6:46,3255,8 Ave & W 31 St,305,E 58 St & 3 Ave
9714,650,9/27/2017 6:33,9/27/2017 6:44,3255,8 Ave & W 31 St,527,E 33 St & 2 Ave
9715,651,9/27/2017 6:33,9/27/2017 6:44,3255,8 Ave & W 31 St,3466,W 45 St & 6 Ave
9716,538,9/27/2017 6:34,9/27/2017 6:43,3255,8 Ave & W 31 St,3458,W 55 St & 6 Ave
