,tripduration,starttime,stoptime,startid,startname,endid,endname
9560,45125,9/26/2017 17:14,9/27/2017 5:46,3180,Brooklyn Bridge Park - Pier 2,3255,8 Ave & W 31 St
9744,422,9/27/2017 0:42,9/27/2017 0:50,434,9 Ave & W 18 St,3255,8 Ave & W 31 St
9745,361,9/27/2017 1:08,9/27/2017 1:14,526,E 33 St & 5 Ave,3255,8 Ave & W 31 St
9746,325,9/27/2017 1:11,9/27/2017 1:17,116,W 17 St & 8 Ave,3255,8 Ave & W 31 St
9747,832,9/27/2017 2:21,9/27/2017 2:35,523,W 38 St & 8 Ave,3255,8 Ave & W 31 St
9748,1082,9/27/2017 2:21,9/27/2017 2:39,523,W 38 St & 8 Ave,3255,8 Ave & W 31 St
9749,545,9/27/2017 5:29,9/27/2017 5:38,500,Broadway & W 51 St,3255,8 Ave & W 31 St
9750,366,9/27/2017 5:51,9/27/2017 5:57,3428,8 Ave & W 16 St,3255,8 Ave & W 31 St
9751,556,9/27/2017 5:58,9/27/2017 6:08,517,Pershing Square South,3255,8 Ave & W 31 St
9752,389,9/27/2017 6:01,9/27/2017 6:08,495,W 47 St & 10 Ave,3255,8 Ave & W 31 St
9753,203,9/27/2017 6:04,9/27/2017 6:08,509,9 Ave & W 22 St,3255,8 Ave & W 31 St
9754,488,9/27/2017 6:14,9/27/2017 6:23,528,2 Ave & E 31 St,3255,8 Ave & W 31 St
9755,423,9/27/2017 6:30,9/27/2017 6:37,168,W 18 St & 6 Ave,3255,8 Ave & W 31 St
9756,958,9/27/2017 6:45,9/27/2017 7:01,3167,Amsterdam Ave & W 73 St,3255,8 Ave & W 31 St
9757,588,9/27/2017 6:45,9/27/2017 6:55,297,E 15 St & 3 Ave,3255,8 Ave & W 31 St
9758,598,9/27/2017 6:47,9/27/2017 6:57,519,Pershing Square North,3255,8 Ave & W 31 St
9759,528,9/27/2017 6:52,9/27/2017 7:01,238,Bank St & Washington St,3255,8 Ave & W 31 St
9760,313,9/27/2017 6:54,9/27/2017 6:59,402,Broadway & E 22 St,3255,8 Ave & W 31 St
9761,923,9/27/2017 6:56,9/27/2017 7:12,438,St Marks Pl & 1 Ave,3255,8 Ave & W 31 St
9762,300,9/27/2017 6:57,9/27/2017 7:02,284,Greenwich Ave & 8 Ave,3255,8 Ave & W 31 St
9763,1291,9/27/2017 7:07,9/27/2017 7:29,3141,1 Ave & E 68 St,3255,8 Ave & W 31 St
9764,1472,9/27/2017 7:08,9/27/2017 7:32,426,West St & Chambers St,3255,8 Ave & W 31 St
9765,384,9/27/2017 7:15,9/27/2017 7:21,402,Broadway & E 22 St,3255,8 Ave & W 31 St
9766,1120,9/27/2017 7:25,9/27/2017 7:44,445,E 10 St & Avenue A,3255,8 Ave & W 31 St
9767,823,9/27/2017 7:26,9/27/2017 7:40,530,11 Ave & W 59 St,3255,8 Ave & W 31 St
9768,320,9/27/2017 7:30,9/27/2017 7:35,466,W 25 St & 6 Ave,3255,8 Ave & W 31 St
9769,1192,9/27/2017 7:32,9/27/2017 7:52,3170,W 84 St & Columbus Ave,3255,8 Ave & W 31 St
9770,317,9/27/2017 7:33,9/27/2017 7:39,470,W 20 St & 8 Ave,3255,8 Ave & W 31 St
9771,306,9/27/2017 7:38,9/27/2017 7:43,453,W 22 St & 8 Ave,3255,8 Ave & W 31 St
9772,522,9/27/2017 7:39,9/27/2017 7:48,537,Lexington Ave & E 24 St,3255,8 Ave & W 31 St
9773,398,9/27/2017 7:40,9/27/2017 7:46,458,11 Ave & W 27 St,3255,8 Ave & W 31 St
9774,746,9/27/2017 7:42,9/27/2017 7:54,468,Broadway & W 56 St,3255,8 Ave & W 31 St
9775,175,9/27/2017 7:45,9/27/2017 7:48,3258,W 27 St & 10 Ave,3255,8 Ave & W 31 St
9776,253,9/27/2017 7:46,9/27/2017 7:50,3428,8 Ave & W 16 St,3255,8 Ave & W 31 St
9777,2579,9/27/2017 7:46,9/27/2017 8:29,323,Lawrence St & Willoughby St,3255,8 Ave & W 31 St
9778,865,9/27/2017 7:48,9/27/2017 8:03,504,1 Ave & E 16 St,3255,8 Ave & W 31 St
9779,487,9/27/2017 7:53,9/27/2017 8:01,459,W 20 St & 11 Ave,3255,8 Ave & W 31 St
9780,572,9/27/2017 7:56,9/27/2017 8:06,358,Christopher St & Greenwich St,3255,8 Ave & W 31 St
9781,656,9/27/2017 7:57,9/27/2017 8:08,358,Christopher St & Greenwich St,3255,8 Ave & W 31 St
9782,442,9/27/2017 7:59,9/27/2017 8:06,479,9 Ave & W 45 St,3255,8 Ave & W 31 St
9783,259,9/27/2017 8:03,9/27/2017 8:08,470,W 20 St & 8 Ave,3255,8 Ave & W 31 St
9784,387,9/27/2017 8:06,9/27/2017 8:13,3258,W 27 St & 10 Ave,3255,8 Ave & W 31 St
